시군구,행정동,어린이집_가중치,학급당학생수_가중치,가중치_합산
노원구,상계9동,0.006473684,0.037738486,0.04421217
성남시 중원구,상대원1동,0.008431452,0.035322983,0.043754435
성남시 중원구,상대원2동,0.009461538,0.0,0.009461538
성남시 중원구,상대원3동,0.003258278,0.027987145,0.031245423
동작구,상도1동,0.00310084,0.031264448,0.034365288
동작구,상도2동,0.003746193,0.035823696,0.039569889000000004
동작구,상도3동,0.005963636,0.035342903,0.041306539
동작구,상도4동,0.004892045,0.030879873,0.035771918
부천시 원미구,상동,0.003660714,0.039520251,0.043180965
중랑구,상봉1동,0.003012245,0.036236367,0.039248612
중랑구,상봉2동,0.002196429,0.0,0.002196429
